Super Maison Pokemon

# | Pokemon | Nature | Item | Move | Move | Move | Move | EV Spread
0 | Barbaracle1 | Adamant | BrightPowder | Stone Edge | Razor Shell | Shell Smash | Double Team | Atk/Spd
1 | Hawlucha1 | Jolly | Salac Berry | Acrobatics | Hi Jump Kick | FeatherDance | Taunt | Atk/Spd
2 | Carbink1 | Calm | Light Clay | Reflect | Light Screen | Safeguard | Dazzling Gleam | Def/SpD
3 | Pyroar1 | Timid | Kings Rock | Flamethrower | Hyper Voice | Snarl | Noble Roar | Spd/SpA
4 | Avalugg1 | Relaxed | Leftovers | Avalanche | Confide | Protect | Toxic | HP/Def
5 | Tyrantrum1 | Relaxed | Lax Incense | Stealth Rock | Dragon Tail | Double Team | Earthquake | Def/SpD
6 | Aurorus1 | Calm | Sitrus Berry | Substitute | Thunder Wave | Round | Thunderbolt | HP/SpD
7 | Talonflame1 | Timid | Charti Berry | Round | Me First | Will-O-Wisp | Flamethrower | Spd/SpA
8 | Sylveon1 | Calm | Leftovers | Misty Terrain | Tail Whip | Helping Hand | Dazzling Gleam | HP/SpD
9 | Chesnaught1 | Adamant | Leftovers | Taunt | Spiky Shield | Feint | Wood Hammer | Atk/Def
10 | Delphox1 | Timid | Petaya Berry | Confide | Psychic | Flamethrower | Round | Spd/SpA
11 | Greninja1 | Calm | Leftovers | Mat Block | Spikes | Scald | Toxic | Def/SpD
12 | Gogoat1 | Impish | Yache Berry | Substitute | Horn Leech | Bulk Up | Payback | Def/SpD
13 | Noivern1 | Timid | Yache Berry | Super Fang | Boomburst | Round | Torment | Spd/SpA
14 | Florges1 | Sassy | Babiri Berry | Flower Shield | Dazzling Gleam | Energy Ball | Wish | Def/SpD
15 | Goodra1 | Modest | Lax Incense | Substitute | Muddy Water | Dragon Pulse | Sludge Wave | SpA/SpD
16 | Trevenant1 | Modest | Wise Glasses | Psychic | Shadow Ball | Energy Ball | Round | SpA/SpD
17 | Gourgeist1 | Impish | Sitrus Berry | Will-O-Wisp | Trick-or-Treat | Pain Split | Phantom Force | HP/Def
18 | Clawitzer1 | Calm | BrightPowder | Heal Pulse | Muddy Water | Double Team | Confide | Def/SpD
19 | Slurpuff1 | Modest | Big Root | Draining Kiss | Cotton Guard | Play Nice | Confide | HP/SpA
20 | Aromatisse1 | Calm | Lax Incense | Charm | Sweet Kiss | Attract | Draining Kiss | HP/SpD
52 | Barbaracle2 | Modest | Wise Glasses | AncientPower | Blizzard | Surf | Focus Blast | Def/SpA
53 | Hawlucha2 | Careful | Leftovers | Toxic | Bounce | Dig | Protect | Def/SpD
54 | Carbink2 | Bold | Smooth Rock | Toxic | Protect | Sandstorm | Power Gem | Def/SpD
55 | Pyroar2 | Timid | Heat Rock | Sunny Day | Hyper Voice | Fire Blast | SolarBeam | Spd/SpA
56 | Avalugg2 | Careful | Apicot Berry | Rest | Curse | Frost Breath | Skull Bash | Def/SpD
57 | Tyrantrum2 | Impish | Leftovers | Crunch | Charm | Sandstorm | Dragon Claw | Def/SpD
58 | Aurorus2 | Calm | Leftovers | AncientPower | Hail | Sandstorm | Freeze-Dry | HP/SpD
59 | Talonflame2 | Timid | Heat Rock | Round | Fire Blast | Sunny Day | SolarBeam | Spd/SpA
60 | Sylveon2 | Calm | Ganlon Berry | Baton Pass | Calm Mind | Psych Up | Moonblast | Def/SpD
61 | Chesnaught2 | Adamant | Expert Belt | Dragon Claw | Seed Bomb | Earthquake | Brick Break | Atk/Def
62 | Delphox2 | Modest | Flame Orb | Role Play | Switcheroo | Mystical Fire | Shadow Ball | Spd/SpA
63 | Greninja2 | Timid | Damp Rock | Rain Dance | Surf | Round | Ice Beam | Spd/SpA
64 | Gogoat2 | Quiet | Occa Berry | Surf | Energy Ball | Rock Slide | Grass Knot | Atk/SpA
65 | Noivern2 | Adamant | Roseli Berry | Dragon Claw | Wild Charge | X-Scissor | Acrobatics | Atk/Spd
66 | Florges2 | Quiet | Kebia Berry | Misty Terrain | Grassy Terrain | Nature Power | Round | SpA/SpD
67 | Goodra2 | Careful | Lum Berry | Aqua Tail | Body Slam | Earthquake | Outrage | Atk/SpD
68 | Trevenant2 | Careful | Leftovers | Toxic | Ingrain | Protect | Phantom Force | Def/SpD
69 | Gourgeist2 | Impish | Iron Ball | Trick Room | Gyro Ball | Seed Bomb | Explosion | HP/Def/SpD
70 | Clawitzer2 | Modest | Petaya Berry | Flash Cannon | Scald | Sludge Wave | Round | SpA/SpD
71 | Slurpuff2 | Quiet | Petaya Berry | Fake Tears | Flamethrower | Dazzling Gleam | Round | SpA/SpD
72 | Aromatisse2 | Calm | Assault Vest | Round | Psychic | Energy Ball | Dazzling Gleam | SpA/SpD
104 | Barbaracle3 | Adamant | Expert Belt | Dragon Claw | Earthquake | X-Scissor | Night Slash | Atk/Def
105 | Hawlucha3 | Adamant | Liechi Berry | Swords Dance | Flying Press | Acrobatics | Steel Wing | Atk/Spd
106 | Carbink3 | Quiet | Iron Ball | Trick Room | Gyro Ball | Dazzling Gleam | Power Gem | SpA/SpD
107 | Pyroar3 | Adamant | Lum Berry | Return | Fire Fang | Wild Charge | Crunch | Atk/Spd
108 | Avalugg3 | Bold | Icy Rock | Hail | Blizzard | Recover | Flash Cannon | Def/SpD
109 | Tyrantrum3 | Impish | Wide Lens | Horn Drill | Stone Edge | Rest | Sleep Talk | HP/Def
110 | Aurorus3 | Adamant | Expert Belt | Giga Impact | Earthquake | Stone Edge | Frost Breath | Atk/SpD
111 | Talonflame3 | Jolly | Focus Sash | Swords Dance | Quick Attack | Flail | Acrobatics | Def/Spd
